Pair,Half_Life,1D_Pearson,1D_ADF,Net_PnL
GVT&D-STARHEALTH,590.57,0.8130136185820974,0.07025410692100525,5422.46
WELSPUNLIV-ZFCVINDIA,596.27,0.734506297303424,0.002008666337717221,5398.04
GRASIM-LALPATHLAB,449.93,0.7708642471675774,0.02059544726990471,5394.24
ERIS-UNOMINDA,545.72,0.7931058604805369,0.007927352964372818,5390.29
CHOLAHLDNG-POONAWALLA,496.54,0.7977734946624339,0.15929621589043685,5377.85
BIKAJI-RPOWER,328.74,0.9283316816295237,9.24633122877003e-05,5367.05
CHOLAFIN-KOTAKBANK,596.66,0.8639076037647374,0.005061532885326142,5359.11
EIHOTEL-ENDURANCE,602.12,0.6553302004091244,0.10656372215986876,5340.7
EIHOTEL-TBOTEK,394.83,0.8931171247655284,0.009481426458706414,5318.48
EIHOTEL-HINDPETRO,493.0,0.7808517451819368,0.03671465729721389,5302.75
AEGISLOG-GODREJPROP,616.55,0.8043135171055252,0.08481726251793903,5297.06
ATUL-NLCINDIA,528.12,0.8459073196354059,0.12222845557017825,5250.74
DEEPAKNTR-ELECON,533.86,0.7800676828285225,0.05207346441687496,5243.59
LTFOODS-SCHNEIDER,382.38,0.6537567195726794,0.04290517220089598,5243.12
