symbol_a,symbol_b,net_profit,gross_profit,total_fees,win_rate,trade_count,max_drawdown,exit_reasons
TCS,TECHM,2417.0554869274883,20981.568700001466,18564.513213074,0.5104895104895105,286,1381.0652474923393,mr;se
DATAPATTNS,MAZDOCK,16117.119211636962,19745.053750000312,3627.934538363347,0.8928571428571429,56,189.80816626787828,mr
JBCHEPHARM,TORNTPHARM,328.0410632441028,2798.9816500002025,2470.9405867560995,0.6052631578947368,38,802.0156093614204,mr
BANKBARODA,SBIN,-20440.891901529474,594.9863450017458,21035.87824653121,0.2795031055900621,322,20361.828744271534,mr;se;sl
HINDALCO,TATASTEEL,-14084.879536281254,3260.038575001522,17344.91811128277,0.32706766917293234,266,14505.836682406742,mr;se
INFY,TECHM,-7677.3481695785,9782.709150001527,17460.05731958002,0.417910447761194,268,7788.699496698506,mr;se
GODREJPROP,LODHA,7892.572495798229,27004.95675000158,19112.384254203345,0.5358361774744027,293,1355.5928090270354,mr;se
COFORGE,MPHASIS,24236.39919706832,46518.488850001886,22282.089652933544,0.7309941520467836,342,601.5637375985716,mr;se
GRSE,HAL,-25305.315265525085,-8043.5536999984915,17261.761565526616,0.2669172932330827,266,25114.344441299443,mr;se;sl
ABCAPITAL,LTF,21999.619508430347,43948.49180000198,21948.872291571584,0.75,336,1694.7110828226469,mr;se;sl
RAILTEL,RVNL,17922.26689611344,27199.884435000782,9277.617538887356,0.7676056338028169,142,389.0655180382073,mr;se
NATIONALUM,NMDC,-9875.118022121322,3719.0427500011165,13594.160772122439,0.3701923076923077,208,9904.648644149314,mr;se
DLF,OBEROIRLTY,-1632.9314337441142,-396.40909999990095,1236.522333744213,0.21052631578947367,19,1754.8352990454277,mr
GODREJPROP,OBEROIRLTY,-8110.328198210115,13684.012600001872,21794.340798211993,0.43582089552238806,335,7941.474471123813,mr;se
BSE,MCX,-23821.718182058234,-8340.871649998724,15480.846532059484,0.28870292887029286,239,23722.00738058057,mr;se;sl
HCLTECH,WIPRO,-19528.186362061144,-3521.5439699986346,16006.642392062502,0.20816326530612245,245,19407.978122475695,mr;se;sl
INOXWIND,SUZLON,19922.580056232884,40972.22848500177,21049.648428768844,0.6055900621118012,322,1022.8331783754984,mr;se
IRFC,RECLTD,-3228.1819797170083,14211.408400001528,17439.590379718535,0.4232209737827715,267,4683.314663554262,mr;se
IRFC,RAILTEL,-5172.627616675115,5546.26179500082,10718.889411675931,0.36585365853658536,164,6345.412050451921,mr;se
MAZDOCK,RVNL,11347.742125722794,17904.52580000068,6556.783674277873,0.7029702970297029,101,457.54497112211504,mr;se
INOXWIND,IREDA,-18946.063711775503,3731.8641700018393,22677.927881777337,0.2737752161383285,347,19484.81397487485,mr;se
COFORGE,INFY,-238.27941726354575,-107.77199999999175,130.507417263554,0.0,2,144.60771706707555,mr;se
COFORGE,TCS,-7089.55837034397,-3455.884199999695,3633.6741703442717,0.125,56,6936.855376242642,mr;sl
TECHM,WIPRO,-43924.25394648769,-19555.63244499795,24368.62150148978,0.11528150134048257,373,44059.04381687692,mr;se
MPHASIS,PERSISTENT,-1730.325195292849,-1345.1537999999546,385.17139529289454,0.16666666666666666,6,1704.1832380881297,mr;sl
HEROMOTOCO,TVSMOTOR,7927.706666849577,30498.541750001845,22570.835083152277,0.5527065527065527,351,1123.6823208621436,mr;se
COFORGE,TECHM,-806.9274313588418,-546.4542499999798,260.473181358862,0.25,4,542.2009180770749,mr;sl
PNB,SBIN,-20845.492867035395,-1042.989214998272,19802.503652037096,0.23432343234323433,303,20889.09289201508,mr;se
BAJAJFINSV,BAJFINANCE,-22842.124593385273,2020.5281500019453,24862.652743387225,0.2513089005235602,382,22726.003817872504,mr;se;sl
HUDCO,IREDA,18380.9552507085,39685.055765001875,21304.10051429333,0.5674846625766872,326,1581.8736075515278,mr;se
BDL,DATAPATTNS,3926.9608527723485,16501.596500001076,12574.635647228732,0.4742268041237113,194,3940.4481185329114,mr;se
HINDCOPPER,HINDZINC,-5085.877418016387,8750.115775001157,13835.993193017559,0.4009433962264151,212,7913.845017119445,mr;se;sl
ADANIGREEN,ADANIPORTS,-36510.39091951098,-9578.079149997726,26932.311769513293,0.23429951690821257,414,36504.704652247696,mr;se;sl
INOXWIND,NBCC,30536.693243408947,54790.18920000191,24253.495956592975,0.6738544474393531,371,665.6532765457341,mr;se
COCHINSHIP,DATAPATTNS,924.0572846471836,1313.920100000042,389.8628153528585,0.6666666666666666,6,146.58801432359155,mr
ANGELONE,BSE,25479.838011904703,42010.57830000135,16530.740288096662,0.7747035573122529,253,1767.160897859506,mr;se
IRCON,RITES,7528.410469235262,13933.022375000639,6404.611905765376,0.5918367346938775,98,1507.7589647237673,mr;se
BANKINDIA,SBIN,-2616.545700523341,18035.443550001863,20651.989250525196,0.43670886075949367,316,5844.63248754234,mr;se
