symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,spread_mean,spread_std,adf_pvalue,tradeable,skipped
HUDCO,IREDA,0.451602489844018,100,27527,1e-07,1.87142046571772e-07,1.7206692455894067e-07,146315.7040213404,50,False,0.763285030758401,1.568193608589816,,,,,,,,,,,0.45553739681923255,False,False
BDL,DATAPATTNS,0.4515159768437161,101,27527,1e-07,4.044116069511327e-07,8.708890926063244e-07,133150.11734589105,50,False,0.5981115380772143,2.4547647309300573,,,,,,,,,,,0.8923582529406926,False,False
HINDCOPPER,HINDZINC,0.4513475888226203,102,27527,1e-07,3.0573796713028454e-07,5.819027741694419e-07,135696.26194083746,50,False,0.9180889126719994,0.4156520960899297,,,,,,,,,,,0.02528910869434754,False,False
ADANIGREEN,ADANIPORTS,0.4510643713535888,103,27527,1e-07,2.404996215856354e-07,3.5325542777966123e-07,136992.06254708662,50,False,0.9790033750468047,-0.29639686763547485,,,,,,,,,,,0.7780911379758915,False,False
INOXWIND,NBCC,0.4508601763647956,104,27527,1e-07,2.159815408422417e-07,2.3584594432603022e-07,145420.4183022766,50,False,0.5275904517812045,2.1915017152183682,,,,,,,,,,,0.5965096248961891,False,False
COCHINSHIP,DATAPATTNS,0.4501642511212119,105,27527,1e-07,4.0702118082218364e-07,8.784358540801478e-07,133075.55827460077,50,False,0.6230232654704166,2.35469574593428,,,,,,,,,,,0.8805288682433903,False,False
ANGELONE,BSE,0.4499359434692785,106,27527,1e-07,6.437925277331932e-07,2.253682539983102e-06,127498.59321531268,50,False,-0.5047398940627377,9.500557206531216,,,,,,,,,,,0.5924931832470774,False,False
IRCON,RITES,0.4496740661359125,107,27527,1e-07,2.529924558920052e-07,3.565067178660004e-07,141114.07564360058,50,False,0.8011333355607391,0.691677972372528,,,,,,,,,,,0.6858174346574263,False,False
BANKINDIA,SBIN,0.4495806841433655,108,27527,1e-07,2.0873410775694947e-07,2.665873307081321e-07,138806.39440362464,50,False,1.0604073849545204,-2.3519293662152245,,,,,,,,,,,0.33868186579660664,False,False
SAIL,TATASTEEL,0.4488452454778146,109,27527,1e-07,3.4410198157430195e-07,5.276789394713825e-07,139662.25359255204,50,False,1.4128642935697728,-2.402920022334689,,,,,,,,,,,0.09422580374405382,False,False
JINDALSTEL,JSWSTEEL,0.4484393236501749,110,27527,1e-07,2.2490481926676958e-07,2.934777452744877e-07,138469.6248811113,50,False,1.0500819131327312,-0.4056480244253264,,,,,,,,,,,0.6932933533138967,False,False
HINDALCO,HINDZINC,0.4484242441754669,111,27527,1e-07,2.3025841363001393e-07,2.640420182607466e-07,140684.33172722408,50,False,0.1512105327493524,5.8637090515527275,,,,,,,,,,,0.10011637158692971,False,False
CDSL,IREDA,0.4480484736918682,112,27527,1e-07,1.5887365623427297e-07,1.374541005759941e-07,147252.09861500375,50,False,0.5074130483511083,4.728518188765709,,,,,,,,,,,0.1296306850679989,False,False
LODHA,PRESTIGE,0.4468063157310514,113,27527,1e-07,3.0411582223655305e-07,5.349946628577635e-07,135966.7267876654,50,False,0.7978053550590565,1.06649056523421,,,,,,,,,,,0.9191354836967938,False,False
IRCON,IREDA,0.4461297770220658,114,27527,1e-07,2.661258267055543e-07,3.6704186486268365e-07,142230.6615362338,50,False,0.8982618043230464,0.649131579944428,,,,,,,,,,,0.6821657289401711,False,False
IRCON,TITAGARH,0.4447936331762743,115,27527,1e-07,2.847107516095775e-07,4.683496283275773e-07,137716.4475849834,50,False,0.688146965716847,0.4505730880334277,,,,,,,,,,,0.4315701847906167,False,False
JINDALSTEL,NMDC,0.4444617821542842,116,27527,1e-07,2.3649516403798468e-07,2.154149403514959e-07,146863.050701622,50,False,0.7461218936297159,3.7494946107659692,,,,,,,,,,,0.6361067447584428,False,False
IREDA,JIOFIN,0.444377483908364,117,27527,1e-07,2.3615299880604272e-07,2.570254509253046e-07,142266.38099262677,50,False,1.1809624469801034,-1.7356261212496693,,,,,,,,,,,0.11611320100456335,False,False
EICHERMOT,HEROMOTOCO,0.4440949957619368,118,27527,1e-07,2.7857136342304267e-07,4.5254970894821396e-07,134165.92746590535,50,False,-0.021341123077046897,9.08006479169153,,,,,,,,,,,0.5146032974464845,False,False
IREDA,PFC,0.442774412243711,119,27527,1e-07,2.978445583211597e-07,3.8741968085741965e-07,140103.855731656,50,False,1.039665909114487,-1.3553962180533752,,,,,,,,,,,0.7037635986408382,False,False
IRFC,MAZDOCK,0.4425387484227279,120,27527,1e-07,3.97837378033227e-07,8.056811608370279e-07,133578.7185681623,50,False,1.020932054399895,-3.246488906027904,,,,,,,,,,,0.8603919277282494,False,False
