pair,ols_net_pnl,ols_trades,ols_win_rate,adf_stat,adf_pval
ABCAPITAL-JIOFIN,-730.1216249999852,22,0.4545,-3.6858,0.004317
CANBK-JIOFIN,-5108.9225700000225,25,0.4,-2.9785,0.036949
KPITTECH-OFSS,6295.8403250000065,13,0.8462,-2.2166,0.200271
BANKINDIA-PFC,-2921.6878850000085,20,0.5,-2.0628,0.259751
HINDALCO-JINDALSTEL,996.1539500000054,18,0.7222,-3.7337,0.003663
BAJFINANCE-SHRIRAMFIN,-13809.673874999982,27,0.2593,-2.9082,0.044402
KPITTECH-PERSISTENT,-355.9882499999876,27,0.5556,-3.0123,0.033763
BHEL-INOXWIND,-2607.142210000022,20,0.45,-2.8031,0.057832
POWERGRID-TATAPOWER,-2819.2693750000026,24,0.5,-2.8287,0.054288
MAHABANK-PNB,-2941.6859600000253,27,0.5185,-3.2073,0.019565
ADANIPORTS-AMBUJACEM,-896.9885000000086,27,0.4444,-2.8466,0.051925
TATAELXSI-TECHM,-763.9603500000067,17,0.3529,-3.0139,0.033621
PFC-PNB,3962.8084249999756,23,0.6957,-3.3053,0.014644
ADANIGREEN-NHPC,-20166.421299999995,19,0.1579,-2.206,0.204059
NBCC-TATAPOWER,2048.7509799999934,14,0.5714,-3.4927,0.008175
CDSL-DLF,368.28145000000586,17,0.5294,-3.2226,0.018714
IREDA-LICHSGFIN,1212.5647300000164,12,0.5,-3.0318,0.032029
BANKBARODA-CENTRALBK,-2433.6049850000263,20,0.45,-3.577,0.006217
BHEL-IREDA,-3752.257694999993,23,0.5217,-2.6185,0.089225
PNB-YESBANK,-2073.086224999989,24,0.4583,-3.3644,0.012236
INFY-OFSS,-3851.6832000000068,23,0.3043,-3.7355,0.003641
MAZDOCK-TITAGARH,1668.3955999999962,21,0.4762,-2.9662,0.038171
PFC-RVNL,5693.835049999972,16,0.75,-3.761,0.003332
